word,pos,frequency
med hjälp av,prep,71.84
ty,conj,70.38
med tanke på,prep,66.31
i början,prep,65.88
i enlighet med,prep,65.2
respektive,conj,62.53
förbi,prep,61.34
i slutet,prep,60.23
förrän,subj,59.06
undan,prep,57.5
angående,prep,57.49
omkring,prep,56.37
i fråga om,prep,54.28
var,pronoun,54.15
fast,subj,53.01
inklusive,prep,52.53
utöver,prep,51.6
vare sig,conj,51.25
gentemot,prep,50.23
tack vare,prep,50.23
längs,prep,49.8
allting,pronoun,47.95
huruvida,subj,47.92
beträffande,prep,47.59
beroende på,prep,45.39
detsamma,pronoun,45.26
var och en,pronoun,45.08
för,conj,44.36
i förhållande till,prep,41.87
ifall,subj,41.43
inom ramen för,prep,40.67
än,subj,36.96
till följd av,prep,34.39
bredvid,prep,30.67
med hänsyn till,prep,29.73
rörande,prep,29.57
med anledning av,prep,28.44
från och med,prep,26.44
sådan här,det,26.09
ju,conj,25.65
bortom,prep,24.39
utav,prep,24.37
densamma,pronoun,23.84
såväl som,conj,23.0
intill,prep,22.95
i mitten av,prep,21.36
i närheten av,prep,21.22
tills,prep,20.69
vem som helst,pronoun,20.6
emellan,prep,19.99
vid sidan av,prep,19.48
ovanför,prep,19.1
fastän,subj,19.04
oberoende av,prep,18.86
med stöd av,prep,18.24
innan,prep,17.32
till förmån för,prep,16.96
ett,pronoun,16.92
somlig,pronoun,16.89
allihop,pronoun,15.6
med hänvisning till,prep,14.88
norr om,prep,13.99
i kombination med,prep,13.82
i jämförelse med,prep,13.07
söder om,prep,13.02
jämte,prep,12.94
apropå,prep,12.78
i anslutning till,prep,12.71
innanför,prep,12.67
bortsett från,prep,12.22
någon som helst,det,11.25
vardera,pronoun,10.97
fler och fler,pronoun,10.8
i motsats till,prep,10.5
varannan,det,9.79
i relation till,prep,9.73
med avseende på,prep,9.69
varsin,pronoun,9.51
kontra,prep,9.5
ovan,prep,9.28
uppför,prep,8.99
ovanpå,prep,7.91
alltihop,pronoun,7.44
i behov av,prep,7.4
utmed,prep,7.29
inuti,prep,7.26
nedanför,prep,7.11
i ljuset av,prep,6.94
väster om,prep,6.19
envar,pronoun,5.44
mittemot,prep,1.94
